Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Austria,AUT,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,7253572294","45,8004359409","45,8755146525","45,950593364","46,0256720756","46,1007507871","46,1758294987","46,2509082102","46,3259869218","46,4010656333","46,4761443449","46,5076289659","46,5391135868","46,5705982078","46,6020828288","46,6335674497","46,655364495","46,678292039","46,7000896122","46,725848058","46,7533096741","46,7790779369","46,8088199661","46,8357344513","46,8575444378","46,8793544244",
Azerbaijan,AZE,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,2382926565","10,2839564031","10,2839564031","10,307989954","10,3320235048","10,3560570556","10,3800906065","10,4041241573","10,4438453762","10,5168974064","10,5538405666","10,5670427582","10,5783243361","10,5870396361","10,5975420941","10,6121461408","10,9323910597","11,2507715209","11,5683735341","11,8864225025","12,1987514518","12,5156669651","12,8328776404","13,1499292273","13,467136065","13,7843429028",
Burundi,BDI,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,253894081","10,8995327103","10,5451713396","10,1908099688","9,8364485981","9,4820872274","9,1277258567","8,773364486","8,4190031153","8,0646417445","7,7102803738","7,5778816199","7,445482866","7,3130841121","7,1806853583","7,0482866044","7,6090342679","8,1697819315","8,730529595","9,2912772586","9,8520249221","10,031152648","10,2102803738","10,3894080997","10,5685358255","10,7476635514",
Belgium,BEL,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,0376486129","22,0832232497","22,1287978864","22,1743725231","22,2199471598","22,2655217966","22,3117569353","22,357992074","22,4042272127","22,4504623514","22,4966974901","22,5112285337","22,5257595773","22,5402906209","22,5548216645","22,5693527081",
Benin,BEN,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,0908123448","50,4700248315","49,8492373182","49,2284498049","48,6076622916","47,9868747783","47,366087265","46,7452997517","46,1245122384","45,5037247251","44,8829372118","44,4395175594","43,9960979071","43,5526782547","43,1092586023","42,66583895","42,2224192976","41,7789996453","41,3355799929","40,8921603405","40,4487406882","40,0053210358","39,5619013835","39,1184817311","38,6750620788","38,2316424264",
Burkina Faso,BFA,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,0255847953","24,8066520468","24,5877192982","24,3687865497","24,1498538012","23,9309210526","23,7119883041","23,4930555556","23,274122807","23,0551900585","22,8362573099","22,6176900585","22,399122807","22,1805555556","21,9619883041","21,7434210526","21,524122807","21,3048245614","21,0855263158","20,8662280702","20,6469298246","20,4283625731","20,2097953216","19,9912280702","19,7726608187","19,5540935673",
Bangladesh,BGD,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,4772989168","11,4573250365","11,4373511562","11,4173772759","11,3974033956","11,3774295152","11,3574556349","11,3374817546","11,3175078743","11,297533994","11,2775601137","11,2575862334","11,2376123531","11,2176384728","11,1976645925","11,1776907121","11,1577168318","11,1377429515","11,1177690712","11,0977951909","11,0778213106","11,0578474303","11,03787355","11,0178996697","10,9979257894","10,977951909",
Bulgaria,BGR,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,0732170297","30,1166048992","30,1599927687","30,2033806382","30,2467685076","30,2901563771","30,3335442466","30,3769321161","30,4203199855","30,463707855","30,5070957245","31,0060562234","32,0349264706","32,5512549416","33,0617874218","33,6064064801","33,7678357728","33,932418746","34,0907835374","34,2649226234","34,4233603537","34,581798084","34,7402358143","34,8986735446","35,0571112749","35,2155490052",
Bahrain,BHR,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3188405797","0,3333333333","0,3521126761","0,3661971831","0,3943661972","0,4084507042","0,4366197183","0,4507042254","0,4788732394","0,5070422535","0,5211267606","0,5492957746","0,5633802817","0,5833333333","0,5890410959","0,6081081081","0,6216216216","0,64","0,6447368421","0,6710526316","0,6955380577","0,704041721","0,7272727273","0,7402597403","0,7662337662","0,7792207792",
Bahamas,BHS,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,4485514486","51,4485514486","51,4485514486","51,4485514486","51,4485514486","51,4485514486","51,4485514486","51,4485514486","51,4485514486","51,4485514486","51,4485514486","51,4485514486","51,4485514486","51,4485514486","51,4485514486","51,4485514486","51,4485514486","51,4485514486","51,4485514486","51,4485514486","51,4485514486","51,4485514486","51,4485514486","51,4485514486","51,4485514486","51,4485514486",
Bosnia and Herzegovina,BIH,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,3333333333","43,2352941176","43,06640625","43,017578125","42,96875","42,919921875","42,87109375","42,822265625","42,7734375","42,724609375","42,67578125","42,67578125","42,67578125","42,67578125","42,67578125","42,67578125","42,67578125","42,67578125","42,67578125","42,67578125","42,67578125","42,67578125","42,67578125","42,67578125","42,67578125","42,67578125",
Belarus,BLR,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,3553539736","38,8414513903","38,8414513903","39,0845000986","39,3275488069","39,5705975153","39,8136462236","40,056694932","40,2997436403","40,5427923486","40,785841057","40,9465588641","41,1093033575","41,2700290884","41,4348404911","41,5914805502","41,6737309019","41,7703302119","41,8669295219","41,9800808599","42,0601281419","42,1561283328","42,2542013701","42,3522744074","42,4503474447","42,548420482",
Belize,BLZ,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,8474353354","70,1600175362","69,4730381412","68,7860587462","68,0990793512","67,411661552","66,7246821569","66,0377027619","65,3507233669","64,6633055677","63,9763261727","63,6014905743","63,2262165717","62,8513809733","62,4761069706","62,1012713722","61,8807540552","61,6602367383","61,4401578255","61,2196405085","60,9991231916","60,7790442788","60,5589653661","60,3393248575","60,1192459448","59,899167032",
Bermuda,BMU,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
"Bolivia, Plurinational State of",BOL,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,9663989661","57,7167912859","57,4671836056","57,2175759254","56,9679682452","56,7183605649","56,4687528847","56,2191452045","55,9695375242","55,719929844","55,4703221638","55,2197913782","54,9692605926","54,7187298071","54,4681990215","54,2176682359","53,7515000462","53,2853318564","52,8191636666","52,3529954768","51,886827287","51,6200498477","51,3532724084","51,0864949691","50,8197175298","50,5529400905",
Brazil,BRA,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65,4098878459","65,1056215857","64,8013553255","64,4970890653","64,1928228051","63,8885565449","63,5842902847","63,2800240245","62,9757577643","62,6714915041","62,3672252439","62,0193009449","61,671376646","61,3234523471","60,9755280481","60,6276037492","60,4295692582","60,2315347673","60,0335002764","59,8354657854","59,6374312945","59,5197017518","59,4019722091","59,2842426664","59,1665131237","59,048783581",
Barbados,BRB,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,6511627907","14,6511627907","14,6511627907","14,6511627907","14,6511627907","14,6511627907","14,6511627907","14,6511627907","14,6511627907","14,6511627907","14,6511627907","14,6511627907","14,6511627907","14,6511627907","14,6511627907","14,6511627907","14,6511627907","14,6511627907","14,6511627907","14,6511627907","14,6511627907","14,6511627907","14,6511627907","14,6511627907","14,6511627907","14,6511627907",
Brunei Darussalam,BRN,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78,3681214421","78,064516129","77,7609108159","77,4573055028","77,1537001898","76,8500948767","76,5464895636","76,2428842505","75,9392789374","75,6356736243","75,3320683112","75,0284629981","74,724857685","74,4212523719","74,1176470588","73,8140417457","73,4724857685","73,1309297913","72,789373814","72,4478178368","72,1062618596","72,1062618596","72,1062618596","72,1062618596","72,1062618596","72,1062618596",
Bhutan,BTN,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,6504505276","53,8629796888","54,07550885","54,2880380113","63,9806532663","64,2301507538","64,4796482412","64,7291457286","64,9783919598","65,2278894472","65,4773869347","65,7268844221","65,9763819095","66,225879397","69,4104992523","69,6710129339","69,9315266154","70,1917779468","70,4522916284","70,71280531","70,9733189915","71,2338326731","71,4943463546","71,7548600362","72,0153737178","72,2756250492",
Botswana,BWA,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,2055299702","23,9967885942","23,7880472183","23,5793058423","23,3705644663","23,1618230904","22,9530817144","22,7443403384","22,5355989625","22,3268575865","22,1181162105","21,9091983837","21,7002805569","21,49136273","21,2824449032","21,0735270764","20,8646092496","20,6556914227","20,4467735959","20,2378557691","20,0289379422","19,8486051559","19,6682723696","19,4879395832","19,3076067969","19,1272740106",
Central African Republic,CAF,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,213040547","36,1879996148","36,1629586825","36,1379177502","36,1128768179","36,0878358856","36,0627949533","36,037754021","36,0127130887","35,9876721564","35,9626312241","35,9375902918","35,9125493595","35,8875084272","35,8624674949","35,8374265627","35,8123856304","35,7873446981","35,7623037658","35,7372628335","35,7122219012","35,6871809689","35,6621400366","35,6370991043","35,612058172","35,5870172397",
Canada,CAN,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,2990726353","38,2938931172","38,288713599","38,2835340809","38,2783545628","38,2731750446","38,2679955265","38,2628160083","38,2576364902","38,2524569721","38,2472774539","38,242306876","38,2373362981","38,2323657202","38,2273951422","38,2224245643","38,2163982884","38,2103720126","38,2043457367","38,1983194608","38,1922931849","38,187168651","38,1820441172","38,1769195833","38,1717950494","38,1666705156",
Central Europe and the Baltics,CEB,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,9443966742","31,9717160089","32,0492770622","32,1054984678","32,1587075194","32,2139524108","32,2656951322","32,3218154472","32,3767687847","32,4311361205","32,4878545002","32,6187218083","32,7991617615","32,9299286851","33,0561990002","33,1917562627","33,2883754994","33,3874210667","33,4836025821","33,5494038212","33,6437967099","33,7489652974","33,8607526141","33,9663932073","34,0723711802","34,178349153",
Switzerland,CHE,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,1178628349","29,2266437299","29,335424625","29,44420552","29,552986415","29,6617673101","29,771301356","29,8808409442","29,990386075","30,0999367489","30,2094929663","30,3266452445","30,4438034512","30,5609675869","30,6781376518","30,7960929197","30,8879722651","30,9798562608","31,070958599","31,1620609373","31,2531632756","31,3493268549","31,4454904343","31,5416540136","31,6378175929","31,7339811722",
