Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Antigua and Barbuda,ATG,Arable land (% of land area),AG.LND.ARBL.ZS,,"18,1818181818","15,9090909091","18,1818181818","15,9090909091","18,1818181818","18,1818181818","15,9090909091","15,9090909091","18,1818181818","18,1818181818","15,9090909091","6,8181818182","6,8181818182","6,8181818182","6,8181818182","6,8181818182","6,8181818182","6,8181818182","6,8181818182","6,8181818182","6,8181818182","6,8181818182","6,8181818182","6,8181818182","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909","9,0909090909",,,
Australia,AUS,Arable land (% of land area),AG.LND.ARBL.ZS,,"3,9291618396","4,1788266535","4,3000143186","4,6053916145","4,8118402041","5,1565286438","5,3731304427","5,3877094099","5,4020280385","5,4168673444","5,3512619919","5,2869583328","5,2348905927","5,482863205","5,4965309868","5,4770055843","5,3482680968","5,5345404371","5,7185998985","5,7314866642","5,5991044349","6,036473452","5,8337997735","6,1283730133","6,1374848678","6,0936177968","6,1102794736","6,1179594653","6,2090780105","6,2351118806","5,9487393098","6,1439933353","6,02684092","6,1570102704","5,21940044","4,7230647072","5,1899821668","5,7346107286","5,9266105203","6,1575309478","6,4833448316","6,2219647762","6,1231662393","6,2146752926","6,4306262447","6,2110305507","5,7456751233","5,7247178579","5,9378050844","5,5410489046","6,2062142848","6,1326686019","6,0162972027",,,
Austria,AUT,Arable land (% of land area),AG.LND.ARBL.ZS,,"20,4528941632","20,3560184064","20,0532816663","20,0653911359","20,1017195447","19,5689028821","19,3751513684","19,387260838","19,1935093243","19,2056187939","19,2177282635","19,2298377331","18,3337369823","18,3337369823","18,2974085735","18,4063938","18,5153790264","18,7333494793","18,4427222088","18,6001453136","18,7575684185","18,588035844","17,4255267619","17,4981835796","17,5345119884","17,4255267619","17,4255267619","17,6556066844","17,667716154","17,2681036571","17,4981835796","17,3891983531","17,1833373698","17,2317752482","17,1227900218","17,0743521434","16,9532574473","16,9411479777","16,5415354807","16,7352869944","16,7122790022","16,7001695326","16,7114313393","16,7013804795","16,7189392105","16,6798256236","16,6656978856","16,5782653976","16,5506049339","16,5186952677","16,4704314752","16,4174945481","16,4059565497",,,
Azerbaijan,AZE,Arable land (% of land area),AG.LND.ARBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,4825937008","20,618383263","20,7121141113","20,7445594049","21,4475407669","21,6446158838","21,7794733548","22,0651713923","22,1003571212","22,2228947751","22,2384952432","22,2438658472","22,2650958003","22,2985724655","22,2817866089","22,4376429583","22,5132220703","22,6816102249","22,7944734804","22,8132788115","22,9475670836","23,2920795074",,,
Burundi,BDI,Arable land (% of land area),AG.LND.ARBL.ZS,,"26,285046729","27,2585669782","28,1931464174","28,9719626168","29,4392523364","29,3224299065","30,6853582555","31,1526479751","38,6292834891","36,6043613707","36,1760124611","34,8909657321","36,214953271","36,214953271","36,214953271","36,4096573209","36,6822429907","36,4096573209","36,214953271","36,214953271","36,214953271","36,214953271","36,214953271","36,214953271","36,214953271","36,214953271","36,214953271","36,214953271","36,214953271","36,214953271","36,214953271","36,214953271","36,214953271","36,214953271","36,6043613707","36,6043613707","36,9937694704","36,9937694704","37,3831775701","37,3831775701","37,9672897196","38,3956386293","38,5514018692","38,3566978193","37,2274143302","35,046728972","33,0996884735","35,046728972","36,9937694704","36,9937694704","38,9408099688","42,8348909657","46,7289719626",,,
Belgium,BEL,Arable land (% of land area),AG.LND.ARBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,4676354029","27,9062087186","27,4768824306","27,5759577279","27,7410832232","27,8401585205","27,8071334214","27,7080581242","27,8731836196","27,7080581242","27,5429326288","27,212681638","26,4861294584","26,9484808454",,,
Benin,BEN,Arable land (% of land area),AG.LND.ARBL.ZS,,"8,1589216034","8,3362894643","8,5136573253","8,6910251862","8,8683930472","9,1344448386","9,4891805605","9,7552323519","10,4647037957","10,6420716566","11,085491309","11,3515431004","11,5289109613","11,7949627527","12,1496984746","12,4157502661","12,6818020575","12,8591699184","13,0365377794","13,3025895708","13,5686413622","13,7460092231","13,8346931536","13,9233770841","14,0120610145","14,100744945","14,1894288755","14,278112806","14,3667967364","14,3224547712","14,3667967364","14,4554806669","14,6328485278","15,0762681802","15,8744235545","17,293366442","18,6236253991","19,9538843562","20,3973040085","21,1067754523","21,7275629656","22,6144022703","23,501241575","24,3880808797","23,9446612274","22,1709826179","22,1709826179","23,0578219227","21,7275629656","22,5257183398","22,8804540617","23,9446612274","23,9446612274",,,
Burkina Faso,BFA,Arable land (% of land area),AG.LND.ARBL.ZS,,"7,7631578947","7,7997076023","7,8362573099","7,8545321637","7,8910818713","7,9312865497","7,9678362573","8,0043859649","8,048245614","8,0994152047","8,0409356725","8,3406432749","8,6001461988","8,8925438596","9,1593567251","9,3201754386","9,5029239766","9,6856725146","9,8684210526","10,0328947368","10,1973684211","10,3801169591","10,5445906433","10,7090643275","10,8918128655","11,0562865497","11,2390350877","12,7704678363","12,9020467836","12,8106725146","12,7192982456","12,6279239766","12,5365497076","12,2843567251","12,3538011696","12,7192982456","13,8157894737","14,2543859649","14,2543859649","13,5233918129","16,4473684211","17,1783625731","18,6403508772","16,8128654971","17,9093567251","17,1783625731","17,9093567251","21,9298245614","20,8333333333","21,9298245614","20,8333333333","21,9298245614","22,6608187135",,,
Bangladesh,BGD,Arable land (% of land area),AG.LND.ARBL.ZS,,"66,1058615656","66,0444034724","66,1058615656","66,3747407237","67,4272105708","67,5885380656","67,9342398402","67,826688177","67,6807252055","67,8881462703","67,8881462703","70,162095721","70,1467311977","70,1467311977","70,2466005992","70,2005070293","70,1467311977","70,1006376277","70,0468617961","70,0699085811","69,9777214412","69,9393101329","69,824076208","70,5615733272","70,3080586925","70,3771990474","70,9456864101","73,2657294307","73,3886456173","72,6434662365","72,0980256588","66,1365906123","65,3453176615","64,5924560191","64,5617269724","64,2006606745","64,4541753092","64,9458400553","64,8075593455","64,1468848429","63,785818545","63,4017054621","63,2096489206","62,5566566797","60,7743719751","60,5362218637","60,0445571176","59,9446877161","59,8909118845","59,8525005762","58,9844050088","58,9229469156","58,9844050088",,,
Bulgaria,BGR,Arable land (% of land area),AG.LND.ARBL.ZS,,"38,4344210431","37,5485853747","37,4039591431","37,783603001","37,6660941878","37,6570550484","37,4762722589","37,5485853747","37,5847419326","37,440115701","37,3497243062","37,3135677484","37,2412546326","37,0423935641","35,7678748983","35,6142095273","35,5870921088","35,4876615746","35,2255265299","34,5927867667","34,5656693483","34,5114345114","34,4571996746","34,4120039772","34,4391213956","34,5204736509","34,5747084878","34,7102955799","34,7826086957","34,8549218114","34,9272349272","36,581397451","36,7260236825","36,1655970352","36,1384796167","37,9915032089","38,8502214589","31,9623971798","32,3420410377","31,872005785","31,3386965561","30,8363970588","30,5507033189","30,4615667525","29,2065537555","28,8318144159","28,4043826535","28,4320044195","28,9793662491","29,347826087","29,9373618276","30,554532056","32,0467943994",,,
