Indicator,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41282694,8","41210027,6","41137360,3","41064693,1","40992025,8","40919358,5","40846691,3",40774024,"40701356,8","40628689,5","40556022,2","40510303,2","40464584,1",40418865,"40373145,9","40327426,9","40293287,4",40259148,"40225008,5","40190869,1","40156729,6","40123650,9","40090572,3","40057493,6","40024414,9","39991336,2",
Agriculture,"38861709,1",38959771,"39084993,1","39185902,7","39309781,3","39384086,9","39512231,7","39605823,5","39837656,3","39887803,7","39996302,6",40089420,40276333,40352493,40438297,40413408,40394017,40446261,40562117,40678501,40692159,"40854025,4","40926287,4","41215581,6",41516546,41768735,41956104,42155748,42301967,42468153,42572641,"48618862,8",48993457,49153679,49153329,"49191076,6","49331253,2","49400016,2","49370524,9",49430923,"49410261,2","49292547,8","49169572,4","49275845,4","49290596,3","49202713,1","49189914,1",49153414,"49023551,5","49010677,7","49161216,4",49302194,"49225819,9",,,,
Total,"129721259,4","129721239,4","129721249,4","129721249,4","129721239,4","129721229,4","129721219,4","129721209,4","129721209,4","129721199,4","129721189,4","129721089,4","129721019,4","129720549,4","129720039,4","129719829,4","129719699,4","129719699,4","129719669,4","129719399,4","129719479,4","129719259,4","129719219,4","129717730,4","129717630,4","129717730,4","129717640,4","129717630,4","129716640,4","129716640,4","129718550,4","129718810,4","129715100,4","129703357,4","129700417,4","129699976,4","129769315,4","129743309,4","129750091,4","129764000,4","129762878,6","129760686,6","129760281,1","129758849,9","129758785,2","129754696,4","129754526,4","129738505,4","129736867,9","129739123,1","129739291,3","129736410,3","129736436,7","129736436,7","129736436,7",,
