Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Austria,AUT,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,"38,4143459684","38,0388559619","38,2057079418","37,1165641671","37,1521511163","36,7713155829","35,8320255413","35,3599538556","34,3316006079","34,6115989733","34,2610795879","33,6815835115","33,5065366572","33,2162529906","33,378365417","33,3160854372","32,744401697","31,9101724102","32,0137377547","32,1572768675","32,2274003678","32,1557455435","31,9883742231","31,9818823799","31,6436454334","31,483947261","30,6161725321","30,659170454","30,601385201","30,3633428043","30,4898826072","30,8255909575","30,1298450364","28,9171537148","28,6889867802","28,5328322446","28,785862997","28,5843720043","28,2733152587","28,3409929876",
Azerbaijan,AZE,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,9099738513","31,3826621702","39,9659593782","33,7841365462","28,2046193732","33,5984963934","39,0773262154","39,9454310469","36,4568366042","40,7104443035","45,3333032144","47,1781949759","50,1784375684","52,5839957797","54,7191266773","63,5953697305","68,7131633697","68,494451554","70,2223848155","61,0832075385","64,0677573971","65,5811904271","63,0521953626","62,0737915841","58,3045631599","36,9931249762",
Burundi,BDI,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,"10,1673173736","10,4352576064","11,6023831922","12,4785707046","13,0792007684","13,479018098","12,7916671361","13,9933146386","16,0963737936","16,5714696899","12,6190320684","13,4106849183","15,447815406","15,5003684614","13,8401958685","13,0019652281","13,5156713205","17,1269171689","16,667283617","19,6648512778","18,9632397769","19,5961162181","21,172728176","22,4479966716","22,4780604283","19,2482100755","12,6303317825","15,6275284688","15,8433813961","16,2057751091","16,932135829","16,4944129631","16,6984426517","17,0347231557","17,7028575632","18,453078518","16,7110963012","18,0383732128","15,9831156238","16,6313972524","16,7042319635","16,8992360771","16,8855633676","17,7339686811","18,3109874523","17,5379907268",
Belgium,BEL,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,9601344295","28,772470118","29,1736370477","28,5920001751","27,7627111807","27,8085842746","27,0254196691","26,4660534505","25,7251508691","25,5314288796","25,1014022524","24,9495760827","24,9685429824","24,3110601346","22,8825411937","23,1762908392","23,0096015155","22,4514736728","22,2450175934","21,9882514343","22,179072746",
Benin,BEN,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,"10,2269747246","9,8133018028","9,7913091717","11,4694195816","10,7934373721","7,9818493814","11,3066129357","11,4130625066","10,8688139499","11,0630654417","11,7037494115","13,4808042906","13,8881251965","14,2961258064","17,0842249836","16,1643290893","12,9100343969","12,5569870845","14,0053645941","13,3433454489","12,2816697036","12,9104044443","15,1224192815","15,3569747371","17,0694521776","16,702425147","12,1078445245","12,3655660113","13,3946717231","12,7680161415","12,4533850515","11,9826304214","12,7276805045","12,217101797","13,3380644179","13,3923114112","13,2669409932","13,5207077595","12,5664712926","32,2357976117","31,8131394059","32,8218962513","32,6632102423","32,5011123745","30,5340284627","30,7912087912","29,6106600042","27,5756491312","24,9618347712","24,9653868234","25,1505677143","24,2353227623","22,7093142826","23,5577763898","23,5026410111","23,2369146006",
Burkina Faso,BFA,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,"20,6010138799","20,577835525","20,2003561706","21,4834043868","21,0471531839","19,6257802844","19,8134293358","22,613552107","23,266782564","22,9917363189","22,8658901614","25,3517734708","24,2524206316","27,4656473774","24,0580735651","27,2470336749","28,087312024","22,752003928","22,7358602603","21,2853756622","20,4820411371","19,3426262825","19,457553649","20,8077805661","20,3956739762","19,9580751961","21,7926927272","23,4114720158","22,5560199342","23,1433671417","21,2373828121","20,1823885975","21,2196476702","20,6026839242","22,0060639013","21,5166992721","20,024868474","21,4514837496","19,3231410807","24,982354184","21,5273620726","19,4766679024","17,5218365882","21,1805057482","21,1752197632","17,9797036959","17,6222119656","18,7954296848","15,5581268239","19,3246646708","23,0026879061","27,1527005296","24,911518253","20,9991661833","19,9799214831","20,1907847283",
Bangladesh,BGD,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,"6,9738155696","6,7941177491","7,9638617617","7,8045928633","10,4230244562","10,7230247489","10,3150855685","8,1028284116","9,2623455148","9,1864040093","8,7290828307","7,6838387803","6,0641021055","12,1103374894","13,3727281578","11,6110473058","14,4492027919","16,7290739026","14,3097126897","15,6864548109","20,6332854789","20,3244644723","20,5295656204","21,3629213566","21,9178644941","20,7903112427","20,8304971497","20,050655947","20,4172265255","20,2878799649","20,6969619021","21,7382036145","22,477817762","23,8154253782","24,3264518141","24,5598551958","22,8073313512","23,0029276026","23,832895365","23,4954175023","23,3136081299","23,7693632975","24,0423817263","23,7351098433","24,0159300657","24,5906464325","25,3971975677","25,7382687184","25,9587931459","26,4256589427","26,1444945136","26,390953616","26,7436603298","27,6362262924","27,6091106563","28,1463235006",
Bulgaria,BGR,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,"54,4902698052","53,2332644346","57,8675097987","60,3831677484","60,0493986458","62,8220499622","65,1171450187","59,4904512601","58,1180921887","57,6199977449","49,1967531918","43,7610526145","43,4929949306","37,1844150309","34,7720047806","28,3653624236","21,3476585814","23,6710481599","24,6075310644","25,1469543226","25,8459779057","26,8967083804","26,6935242343","27,5221062356","26,6561274904","28,2375152902","29,7569712366","30,5311846445","29,472023849","30,4590897253","27,3789284472","29,2902135464","28,8918049382","27,5801639204","27,1386229377","27,8721264626",
Bahrain,BHR,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,"59,0881616441","57,8034972007","52,8815144441","48,191398462","49,0091930541","48,4524069623","43,5236124423","44,0258384841","42,0183679333","42,4886900255","45,734582495","39,8643774846","37,2114979848","37,9449803099","37,4249671623","39,9476420818",,,,,,,,,,,,,,,"44,9759468939","49,5171903882","47,5490713336","47,9453331186","46,5197733272","40,2986502975",
Bahamas,BHS,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,896362395","16,4082812731","18,3871438919","18,2046648497","15,0933707443","17,2127211091","16,2447432373","16,5893333002","18,0593388876","17,9018322642","16,6423542648","17,5474759222","13,6140716198","15,090077159","15,5267500158","14,9001976828","15,3991261692","17,0118958444","13,4176966262","14,9695144532","14,2794627626","16,2822214546","17,1229158792","19,0621786033","19,1233652784","19,7938867944","13,6600692826",
Bosnia and Herzegovina,BIH,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,8552890287","25,6999990692","31,3032872427","30,7157416816","33,4106936313","29,6648609327","23,0232940767","23,1378248819","21,6810091641","23,3938685741","24,9095355951","25,9801821937","26,3850256837","27,3717972259","28,4432129115","27,5514777725","27,2731301323","26,997082607","26,3382213348","26,9085381888","26,8415986093","27,3184371292",
Belarus,BLR,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,0971563981","49,9449760766","47,7797977503","38,4084392751","35,9769715619","36,9683861781","38,5865575253","41,1740079394","40,6040743348","39,2019091371","39,1701999564","37,2455489862","36,9884400005","38,6875254487","40,8690861382","44,0059054414","42,9549956306","43,1675804541","45,4180663502","43,1617029633","42,205056571","42,7168048032","42,951712008","41,9783867665","41,3512041848","39,9741988546",
Belize,BLZ,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,"24,6526399365","21,921271217","30,875440658","27,4544385655","24,2925278219","24,2424242424","26,998654105","24,9672202797","24,5417515275","27,6085141903","28,4584980237","26,4751552795","22,194374826","21,8415263802","21,0479926882","21,2558315915","20,016344884","20,081615513","20,4905746711","19,757748439","19,6929173684","18,6370690888","20,572841077","19,93109293","19,1922329234","17,456131827","17,627995423","17,3095615343","20,3734601701","21,0587708984","22,1945624768","21,4893770313","21,6619706092","22,6002527637","20,1682562906","19,0764632763","18,5818863587","18,3273649174",
Bermuda,BMU,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,7617025443","8,5304571944","6,8398644118","9,179596286","11,6902393714","10,8529076495","10,0652522935","10,0407040326","10,1052304591","10,4475233193","9,4183717498","8,7123788178","9,4838439228","8,7993953093","7,7824924959","6,8263873308","6,0059124508",,,,
"Bolivia, Plurinational State of",BOL,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,"33,0217793845","31,3285239523","34,9410436528","36,700587408","37,6764814587","32,7321715701","32,962382149","33,9476547002","34,2245327392","33,5467963426","32,4311188009","32,6832153718","34,7197972678","35,6988794106","33,3202875965","34,8474611313","35,1301099322","32,997514217","33,9821522352","34,3560492531","34,7654421814","33,6520805368","33,5585355183","32,2331266463","31,5856719217","33,1129372255","32,2763170444","30,5503846413","30,3654231881","28,6484777586","29,7923657833","29,1788564753","29,2953889615","29,3915040056","30,9742168245","32,0281626075","35,0815045405","36,3894057267","38,3563107834","36,2444480665","37,2904927682","38,9013038252","38,613025742","38,0078257697","36,8332105306","32,5804604543",
